"full_name","email","department","role","sentiment_score","match_score"
"Ethan Shaw","ethan.shaw.cand@public.local","hr","HR Generalist","0.4","0.49"
"Amelia Shaw","amelia.shaw.cand@public.local","hr","HR Generalist","0.43","0.47"
"James Shaw","james.shaw.cand@public.local","hr","HR Generalist","0.09","0.85"
"Harper Shaw","harper.shaw.cand@public.local","technical","Software Engineer","0.43","0.52"
"Benjamin Shaw","benjamin.shaw.cand@public.local","technical","Software Engineer","0.9","0.96"
"Evelyn Shaw","evelyn.shaw.cand@public.local","technical","Software Engineer","0.84","1"
"Elijah Shaw","elijah.shaw.cand@public.local","technical","Software Engineer","0.37","0.48"
"Abigail Shaw","abigail.shaw.cand@public.local","technical","Software Engineer","0.86","0.68"
"Daniel Shaw","daniel.shaw.cand@public.local","technical","Software Engineer","0.11","0.84"
"Ella Shaw","ella.shaw.cand@public.local","technical","Software Engineer","0.37","0.57"
"Aarav Cruz","aarav.cruz.cand@public.local","technical","Software Engineer","0.4","0.46"
"Olivia Cruz","olivia.cruz.cand@public.local","technical","Software Engineer","0.14","0.62"
"Noah Cruz","noah.cruz.cand@public.local","technical","Software Engineer","0.4","0.46"
"Emma Cruz","emma.cruz.cand@public.local","technical","Software Engineer","0.75","1"
"Liam Cruz","liam.cruz.cand@public.local","support","Customer Support Specialist","0.11","0.84"
"Sophia Cruz","sophia.cruz.cand@public.local","support","Customer Support Specialist","0.46","0.49"
"Mason Cruz","mason.cruz.cand@public.local","support","Customer Support Specialist","0.11","0.92"
"Isabella Cruz","isabella.cruz.cand@public.local","support","Customer Support Specialist","0.38","0.49"
"Lucas Cruz","lucas.cruz.cand@public.local","support","Customer Support Specialist","0.7","0.89"
"Mia Cruz","mia.cruz.cand@public.local","support","Customer Support Specialist","0.09","0.82"
"Ethan Cruz","ethan.cruz.cand@public.local","support","Customer Support Specialist","0.37","0.45"
"Amelia Cruz","amelia.cruz.cand@public.local","support","Customer Support Specialist","0.1","0.83"
"James Cruz","james.cruz.cand@public.local","support","Customer Support Specialist","0.38","0.57"
"Harper Cruz","harper.cruz.cand@public.local","support","Customer Support Specialist","0.9","1"
"Benjamin Cruz","benjamin.cruz.cand@public.local","support","Customer Support Specialist","0.44","0.51"
"Evelyn Cruz","evelyn.cruz.cand@public.local","technical","Software Engineer","0.36","0.5"
"Elijah Cruz","elijah.cruz.cand@public.local","technical","Software Engineer","0.31","0.84"
"Abigail Cruz","abigail.cruz.cand@public.local","technical","Software Engineer","0.1","0.84"
"Daniel Cruz","daniel.cruz.cand@public.local","management","Operations Manager","0.42","0.48"
"Ella Cruz","ella.cruz.cand@public.local","IT","IT Specialist","0.74","1"
"Aarav Powell","aarav.powell.cand@public.local","IT","IT Specialist","0.73","0.87"
"Olivia Powell","olivia.powell.cand@public.local","IT","IT Specialist","0.09","0.96"
"Noah Powell","noah.powell.cand@public.local","IT","IT Specialist","0.45","0.53"
"Emma Powell","emma.powell.cand@public.local","IT","IT Specialist","0.11","0.8"
"Liam Powell","liam.powell.cand@public.local","product_mng","Product Analyst","0.37","0.47"
"Sophia Powell","sophia.powell.cand@public.local","product_mng","Product Analyst","0.84","0.99"
"Mason Powell","mason.powell.cand@public.local","product_mng","Product Analyst","0.41","0.46"
"Isabella Powell","isabella.powell.cand@public.local","product_mng","Product Analyst","0.76","0.92"
"Lucas Powell","lucas.powell.cand@public.local","IT","IT Specialist","0.11","0.87"
"Mia Powell","mia.powell.cand@public.local","marketing","Growth Marketing Specialist","0.84","0.88"
"Ethan Powell","ethan.powell.cand@public.local","marketing","Growth Marketing Specialist","0.39","0.5"
"Amelia Powell","amelia.powell.cand@public.local","marketing","Growth Marketing Specialist","0.11","0.91"
"James Powell","james.powell.cand@public.local","marketing","Growth Marketing Specialist","0.45","0.56"
"Harper Powell","harper.powell.cand@public.local","marketing","Growth Marketing Specialist","0.37","0.52"
"Benjamin Powell","benjamin.powell.cand@public.local","marketing","Growth Marketing Specialist","0.4","0.52"
"Evelyn Powell","evelyn.powell.cand@public.local","sales","Account Executive","0.39","0.48"
"Elijah Powell","elijah.powell.cand@public.local","accounting","Business Associate","0.11","0.8"
"Abigail Powell","abigail.powell.cand@public.local","support","Customer Support Specialist","0.83","1"
"Daniel Powell","daniel.powell.cand@public.local","technical","Software Engineer","0.11","0.92"
"Ella Powell","ella.powell.cand@public.local","management","Operations Manager","0.39","0.5"
"Aarav Murphy","aarav.murphy.cand@public.local","marketing","Growth Marketing Specialist","0.45","0.45"
"Olivia Murphy","olivia.murphy.cand@public.local","marketing","Growth Marketing Specialist","0.1","0.95"
"Noah Murphy","noah.murphy.cand@public.local","marketing","Growth Marketing Specialist","0.9","0.98"
"Emma Murphy","emma.murphy.cand@public.local","sales","Account Executive","0.45","0.51"
"Liam Murphy","liam.murphy.cand@public.local","sales","Account Executive","0.79","0.89"
"Sophia Murphy","sophia.murphy.cand@public.local","sales","Account Executive","0.9","0.99"
"Mason Murphy","mason.murphy.cand@public.local","sales","Account Executive","0.11","0.84"
"Isabella Murphy","isabella.murphy.cand@public.local","sales","Account Executive","0.43","0.55"
"Lucas Murphy","lucas.murphy.cand@public.local","sales","Account Executive","0.31","0.54"
"Mia Murphy","mia.murphy.cand@public.local","sales","Account Executive","0.32","0.5"
"Ethan Murphy","ethan.murphy.cand@public.local","sales","Account Executive","0.45","0.57"
"Amelia Murphy","amelia.murphy.cand@public.local","sales","Account Executive","0.81","0.99"
"James Murphy","james.murphy.cand@public.local","sales","Account Executive","0.41","0.46"
"Harper Murphy","harper.murphy.cand@public.local","sales","Account Executive","0.11","0.78"
"Benjamin Murphy","benjamin.murphy.cand@public.local","sales","Account Executive","0.1","0.88"
"Evelyn Murphy","evelyn.murphy.cand@public.local","sales","Account Executive","0.7","0.53"
"Elijah Murphy","elijah.murphy.cand@public.local","sales","Account Executive","0.54","0.74"
"Abigail Murphy","abigail.murphy.cand@public.local","sales","Account Executive","0.41","0.48"
"Daniel Murphy","daniel.murphy.cand@public.local","sales","Account Executive","0.38","0.5"
"Ella Murphy","ella.murphy.cand@public.local","sales","Account Executive","0.37","0.51"
"Aarav Hayes","aarav.hayes.cand@public.local","sales","Account Executive","0.11","0.85"
"Olivia Hayes","olivia.hayes.cand@public.local","sales","Account Executive","0.4","0.47"
"Noah Hayes","noah.hayes.cand@public.local","accounting","Business Associate","0.1","0.84"
"Emma Hayes","emma.hayes.cand@public.local","accounting","Business Associate","0.89","0.99"
"Liam Hayes","liam.hayes.cand@public.local","accounting","Business Associate","0.11","0.8"
"Sophia Hayes","sophia.hayes.cand@public.local","hr","HR Generalist","0.36","0.55"
"Mason Hayes","mason.hayes.cand@public.local","hr","HR Generalist","0.4","0.46"
"Isabella Hayes","isabella.hayes.cand@public.local","hr","HR Generalist","0.09","0.85"
"Lucas Hayes","lucas.hayes.cand@public.local","hr","HR Generalist","0.4","0.46"
"Mia Hayes","mia.hayes.cand@public.local","technical","Software Engineer","0.37","0.55"
"Ethan Hayes","ethan.hayes.cand@public.local","technical","Software Engineer","0.44","0.51"
"Amelia Hayes","amelia.hayes.cand@public.local","technical","Software Engineer","0.09","0.8"
"James Hayes","james.hayes.cand@public.local","technical","Software Engineer","0.92","0.87"
"Harper Hayes","harper.hayes.cand@public.local","technical","Software Engineer","0.74","0.91"
"Benjamin Hayes","benjamin.hayes.cand@public.local","technical","Software Engineer","0.09","0.82"
"Evelyn Hayes","evelyn.hayes.cand@public.local","technical","Software Engineer","0.89","0.95"
"Elijah Hayes","elijah.hayes.cand@public.local","technical","Software Engineer","0.09","0.8"
"Abigail Hayes","abigail.hayes.cand@public.local","technical","Software Engineer","0.27","0.54"
"Daniel Hayes","daniel.hayes.cand@public.local","technical","Software Engineer","0.1","0.91"
"Ella Hayes","ella.hayes.cand@public.local","technical","Software Engineer","0.1","0.89"
"Aarav Parker","aarav.parker.cand@public.local","support","Customer Support Specialist","0.77","0.94"
"Olivia Parker","olivia.parker.cand@public.local","support","Customer Support Specialist","0.9","0.82"
"Noah Parker","noah.parker.cand@public.local","support","Customer Support Specialist","0.39","0.5"
"Emma Parker","emma.parker.cand@public.local","support","Customer Support Specialist","0.76","1"
"Liam Parker","liam.parker.cand@public.local","support","Customer Support Specialist","0.1","0.93"
"Sophia Parker","sophia.parker.cand@public.local","support","Customer Support Specialist","0.87","0.9"
"Mason Parker","mason.parker.cand@public.local","support","Customer Support Specialist","0.38","0.5"
"Isabella Parker","isabella.parker.cand@public.local","support","Customer Support Specialist","0.77","0.99"
"Lucas Parker","lucas.parker.cand@public.local","support","Customer Support Specialist","0.78","0.87"
"Mia Parker","mia.parker.cand@public.local","support","Customer Support Specialist","0.44","0.5"
"Ethan Parker","ethan.parker.cand@public.local","support","Customer Support Specialist","0.38","0.52"
"Amelia Parker","amelia.parker.cand@public.local","technical","Software Engineer","0.43","0.46"
"James Parker","james.parker.cand@public.local","technical","Software Engineer","0.39","0.5"
"Harper Parker","harper.parker.cand@public.local","technical","Software Engineer","0.88","1"
"Benjamin Parker","benjamin.parker.cand@public.local","management","Operations Manager","0.45","0.46"
"Evelyn Parker","evelyn.parker.cand@public.local","IT","IT Specialist","0.4","0.53"
"Elijah Parker","elijah.parker.cand@public.local","IT","IT Specialist","0.36","0.51"
"Abigail Parker","abigail.parker.cand@public.local","IT","IT Specialist","0.36","0.48"
"Daniel Parker","daniel.parker.cand@public.local","IT","IT Specialist","0.9","0.98"
"Ella Parker","ella.parker.cand@public.local","IT","IT Specialist","0.43","0.53"
"Aarav Reed","aarav.reed.cand@public.local","product_mng","Product Analyst","0.89","0.87"
"Olivia Reed","olivia.reed.cand@public.local","product_mng","Product Analyst","0.1","0.84"
"Noah Reed","noah.reed.cand@public.local","product_mng","Product Analyst","0.37","0.5"
"Emma Reed","emma.reed.cand@public.local","product_mng","Product Analyst","0.37","0.51"
"Liam Reed","liam.reed.cand@public.local","IT","IT Specialist","0.87","0.9"
"Sophia Reed","sophia.reed.cand@public.local","accounting","Business Associate","0.4","0.56"
"Mason Reed","mason.reed.cand@public.local","accounting","Business Associate","0.9","0.97"
"Isabella Reed","isabella.reed.cand@public.local","hr","HR Generalist","0.37","0.46"
"Lucas Reed","lucas.reed.cand@public.local","hr","HR Generalist","0.44","0.54"
"Mia Reed","mia.reed.cand@public.local","hr","HR Generalist","0.85","0.95"
"Ethan Reed","ethan.reed.cand@public.local","marketing","Growth Marketing Specialist","0.78","0.98"
"Amelia Reed","amelia.reed.cand@public.local","marketing","Growth Marketing Specialist","0.42","0.47"
"James Reed","james.reed.cand@public.local","sales","Account Executive","0.92","0.99"
"Harper Reed","harper.reed.cand@public.local","accounting","Business Associate","0.11","0.83"
"Benjamin Reed","benjamin.reed.cand@public.local","support","Customer Support Specialist","0.42","0.56"
"Evelyn Reed","evelyn.reed.cand@public.local","technical","Software Engineer","0.48","0.57"
"Elijah Reed","elijah.reed.cand@public.local","management","Operations Manager","0.83","0.85"
"Abigail Reed","abigail.reed.cand@public.local","marketing","Growth Marketing Specialist","0.4","0.53"
"Daniel Reed","daniel.reed.cand@public.local","marketing","Growth Marketing Specialist","0.43","0.45"
"Ella Reed","ella.reed.cand@public.local","marketing","Growth Marketing Specialist","0.43","0.53"
"Aarav Patel","aarav.patel.cand@public.local","sales","Account Executive","0.1","0.97"
"Olivia Patel","olivia.patel.cand@public.local","sales","Account Executive","0.1","0.87"
"Noah Patel","noah.patel.cand@public.local","sales","Account Executive","0.37","0.46"
"Emma Patel","emma.patel.cand@public.local","sales","Account Executive","0.38","0.53"
"Liam Patel","liam.patel.cand@public.local","sales","Account Executive","0.4","0.5"
"Sophia Patel","sophia.patel.cand@public.local","sales","Account Executive","0.89","0.86"
"Mason Patel","mason.patel.cand@public.local","sales","Account Executive","0.45","0.46"
"Isabella Patel","isabella.patel.cand@public.local","sales","Account Executive","0.37","0.48"
"Lucas Patel","lucas.patel.cand@public.local","sales","Account Executive","0.46","0.49"
"Mia Patel","mia.patel.cand@public.local","sales","Account Executive","0.87","0.91"
"Ethan Patel","ethan.patel.cand@public.local","sales","Account Executive","0.11","0.84"
"Amelia Patel","amelia.patel.cand@public.local","sales","Account Executive","0.79","0.87"
"James Patel","james.patel.cand@public.local","sales","Account Executive","0.79","0.92"
"Harper Patel","harper.patel.cand@public.local","sales","Account Executive","0.19","0.59"
"Benjamin Patel","benjamin.patel.cand@public.local","sales","Account Executive","0.87","0.98"
"Evelyn Patel","evelyn.patel.cand@public.local","sales","Account Executive","0.6","0.92"
"Elijah Patel","elijah.patel.cand@public.local","sales","Account Executive","0.44","0.45"
"Abigail Patel","abigail.patel.cand@public.local","sales","Account Executive","0.11","0.81"
"Daniel Patel","daniel.patel.cand@public.local","sales","Account Executive","0.42","0.54"
"Ella Patel","ella.patel.cand@public.local","accounting","Business Associate","0.88","0.88"
"Aarav Kim","aarav.kim.cand@public.local","accounting","Business Associate","0.11","0.84"
"Olivia Kim","olivia.kim.cand@public.local","accounting","Business Associate","0.46","0.46"
"Noah Kim","noah.kim.cand@public.local","hr","HR Generalist","0.82","0.97"
"Emma Kim","emma.kim.cand@public.local","hr","HR Generalist","0.44","0.56"
"Liam Kim","liam.kim.cand@public.local","hr","HR Generalist","0.11","0.78"
"Sophia Kim","sophia.kim.cand@public.local","hr","HR Generalist","0.42","0.5"
"Mason Kim","mason.kim.cand@public.local","technical","Software Engineer","0.84","0.93"
"Isabella Kim","isabella.kim.cand@public.local","technical","Software Engineer","0.11","0.95"
"Lucas Kim","lucas.kim.cand@public.local","technical","Software Engineer","0.45","0.53"
"Mia Kim","mia.kim.cand@public.local","technical","Software Engineer","0.38","0.56"
"Ethan Kim","ethan.kim.cand@public.local","technical","Software Engineer","0.38","0.86"
"Amelia Kim","amelia.kim.cand@public.local","technical","Software Engineer","0.44","0.51"
"James Kim","james.kim.cand@public.local","technical","Software Engineer","0.11","0.84"
"Harper Kim","harper.kim.cand@public.local","technical","Software Engineer","0.81","0.93"
"Benjamin Kim","benjamin.kim.cand@public.local","technical","Software Engineer","0.09","0.96"
"Evelyn Kim","evelyn.kim.cand@public.local","technical","Software Engineer","0.11","0.9"
"Elijah Kim","elijah.kim.cand@public.local","technical","Software Engineer","0.81","0.95"
"Abigail Kim","abigail.kim.cand@public.local","support","Customer Support Specialist","0.1","0.97"
"Daniel Kim","daniel.kim.cand@public.local","support","Customer Support Specialist","0.74","0.89"
"Ella Kim","ella.kim.cand@public.local","support","Customer Support Specialist","0.09","0.78"
"Aarav Brooks","aarav.brooks.cand@public.local","support","Customer Support Specialist","0.82","0.81"
"Olivia Brooks","olivia.brooks.cand@public.local","support","Customer Support Specialist","0.1","0.98"
"Noah Brooks","noah.brooks.cand@public.local","support","Customer Support Specialist","0.27","0.56"
"Emma Brooks","emma.brooks.cand@public.local","support","Customer Support Specialist","0.83","0.92"
"Liam Brooks","liam.brooks.cand@public.local","support","Customer Support Specialist","0.1","0.93"
"Sophia Brooks","sophia.brooks.cand@public.local","support","Customer Support Specialist","0.38","0.47"
"Mason Brooks","mason.brooks.cand@public.local","support","Customer Support Specialist","0.4","0.56"
"Isabella Brooks","isabella.brooks.cand@public.local","support","Customer Support Specialist","0.11","0.83"
"Lucas Brooks","lucas.brooks.cand@public.local","technical","Software Engineer","0.11","0.79"
"Mia Brooks","mia.brooks.cand@public.local","technical","Software Engineer","0.82","0.91"
"Ethan Brooks","ethan.brooks.cand@public.local","technical","Software Engineer","0.36","0.48"
"Amelia Brooks","amelia.brooks.cand@public.local","management","Operations Manager","0.4","0.46"
"James Brooks","james.brooks.cand@public.local","IT","IT Specialist","0.87","0.84"
"Harper Brooks","harper.brooks.cand@public.local","IT","IT Specialist","0.41","0.49"
"Benjamin Brooks","benjamin.brooks.cand@public.local","IT","IT Specialist","0.11","0.91"
"Evelyn Brooks","evelyn.brooks.cand@public.local","IT","IT Specialist","0.1","0.93"
"Elijah Brooks","elijah.brooks.cand@public.local","IT","IT Specialist","0.38","0.51"
"Abigail Brooks","abigail.brooks.cand@public.local","product_mng","Product Analyst","0.39","0.55"
"Daniel Brooks","daniel.brooks.cand@public.local","product_mng","Product Analyst","0.4","0.52"
"Ella Brooks","ella.brooks.cand@public.local","product_mng","Product Analyst","0.45","0.48"
"Aarav Diaz","aarav.diaz.cand@public.local","product_mng","Product Analyst","0.74","0.84"
"Olivia Diaz","olivia.diaz.cand@public.local","IT","IT Specialist","0.45","0.55"
"Noah Diaz","noah.diaz.cand@public.local","RandD","Research Associate","0.12","1"
"Emma Diaz","emma.diaz.cand@public.local","RandD","Research Associate","0.1","0.77"
"Liam Diaz","liam.diaz.cand@public.local","RandD","Research Associate","0.37","0.55"
"Sophia Diaz","sophia.diaz.cand@public.local","RandD","Research Associate","0.89","0.87"
"Mason Diaz","mason.diaz.cand@public.local","RandD","Research Associate","0.45","0.47"
"Isabella Diaz","isabella.diaz.cand@public.local","marketing","Growth Marketing Specialist","0.37","0.46"
"Lucas Diaz","lucas.diaz.cand@public.local","sales","Account Executive","0.11","0.81"
"Mia Diaz","mia.diaz.cand@public.local","accounting","Business Associate","0.41","0.48"
"Ethan Diaz","ethan.diaz.cand@public.local","support","Customer Support Specialist","0.1","0.94"
"Amelia Diaz","amelia.diaz.cand@public.local","technical","Software Engineer","0.1","0.93"
"James Diaz","james.diaz.cand@public.local","management","Operations Manager","0.11","0.95"
"Harper Diaz","harper.diaz.cand@public.local","marketing","Growth Marketing Specialist","0.4","0.54"
"Benjamin Diaz","benjamin.diaz.cand@public.local","marketing","Growth Marketing Specialist","0.41","0.49"
"Evelyn Diaz","evelyn.diaz.cand@public.local","marketing","Growth Marketing Specialist","0.1","0.81"
"Elijah Diaz","elijah.diaz.cand@public.local","sales","Account Executive","0.73","0.86"
"Abigail Diaz","abigail.diaz.cand@public.local","sales","Account Executive","0.43","0.47"
"Daniel Diaz","daniel.diaz.cand@public.local","sales","Account Executive","0.37","0.46"
"Ella Diaz","ella.diaz.cand@public.local","sales","Account Executive","0.11","0.94"
"Aarav Singh","aarav.singh.cand@public.local","sales","Account Executive","0.4","0.46"
"Olivia Singh","olivia.singh.cand@public.local","sales","Account Executive","0.41","0.54"
"Noah Singh","noah.singh.cand@public.local","sales","Account Executive","0.82","0.84"
"Emma Singh","emma.singh.cand@public.local","sales","Account Executive","0.61","0.47"
"Liam Singh","liam.singh.cand@public.local","sales","Account Executive","0.11","0.91"
