"full_name","email","department","role","sentiment_score","is_at_risk","retention_prob"
"Elijah Diaz","elijah.diaz.emp116@public.local","Research & Development","Laboratory Technician","1","false","1"
"Abigail Diaz","abigail.diaz.emp117@public.local","Research & Development","Healthcare Representative","1","false","0.75"
"Daniel Diaz","daniel.diaz.emp118@public.local","Sales","Sales Executive","1","true","0.75"
"Ella Diaz","ella.diaz.emp119@public.local","Research & Development","Healthcare Representative","0.5","false","0.75"
"Aarav Singh","aarav.singh.emp120@public.local","Sales","Sales Executive","1","false","0.75"
"Olivia Singh","olivia.singh.emp121@public.local","Sales","Sales Executive","0.5","false","0.75"
"Liam Singh","liam.singh.emp124@public.local","Research & Development","Healthcare Representative","0.25","false","0.75"
"Sophia Singh","sophia.singh.emp125@public.local","Sales","Sales Executive","0.75","false","0.5"
"Mason Singh","mason.singh.emp126@public.local","Research & Development","Research Director","0.75","false","0.25"
"Lucas Singh","lucas.singh.emp128@public.local","Sales","Sales Executive","0.75","false","0.25"
"Mia Singh","mia.singh.emp129@public.local","Sales","Sales Executive","0.75","false","0.5"
"Amelia Singh","amelia.singh.emp131@public.local","Sales","Sales Executive","0.75","false","1"
"James Singh","james.singh.emp132@public.local","Research & Development","Laboratory Technician","0.5","false","0.5"
"Harper Singh","harper.singh.emp133@public.local","Human Resources","Human Resources","0.25","true","0.75"
"Benjamin Singh","benjamin.singh.emp134@public.local","Research & Development","Research Scientist","0.25","false","1"
"Abigail Singh","abigail.singh.emp137@public.local","Research & Development","Laboratory Technician","1","true","1"
"Daniel Singh","daniel.singh.emp138@public.local","Research & Development","Research Scientist","0.75","false","0.25"
"Ella Singh","ella.singh.emp139@public.local","Research & Development","Healthcare Representative","1","false","0.75"
"Aarav Martinez","aarav.martinez.emp140@public.local","Human Resources","Manager","1","false","0.75"
"Olivia Martinez","olivia.martinez.emp141@public.local","Research & Development","Research Director","0.5","false","0.25"
"Noah Martinez","noah.martinez.emp142@public.local","Sales","Sales Executive","0.75","true","0.75"
"Emma Martinez","emma.martinez.emp143@public.local","Research & Development","Research Scientist","1","false","1"
"Liam Martinez","liam.martinez.emp144@public.local","Research & Development","Laboratory Technician","1","false","0.5"
"Sophia Martinez","sophia.martinez.emp145@public.local","Research & Development","Healthcare Representative","0.25","false","0.25"
"Isabella Martinez","isabella.martinez.emp147@public.local","Research & Development","Laboratory Technician","0.75","true","0.25"
"Lucas Martinez","lucas.martinez.emp148@public.local","Human Resources","Manager","1","false","1"
"Ethan Martinez","ethan.martinez.emp150@public.local","Research & Development","Laboratory Technician","0.75","false","0.5"
"Amelia Martinez","amelia.martinez.emp151@public.local","Research & Development","Research Scientist","0.5","false","0.75"
"James Martinez","james.martinez.emp152@public.local","Sales","Sales Executive","1","false","0.75"
"Harper Martinez","harper.martinez.emp153@public.local","Research & Development","Manager","0.25","false","0.75"
"Benjamin Martinez","benjamin.martinez.emp154@public.local","Sales","Sales Executive","1","false","0.5"
"Evelyn Martinez","evelyn.martinez.emp155@public.local","Research & Development","Laboratory Technician","1","false","0.25"
"Daniel Martinez","daniel.martinez.emp158@public.local","Sales","Manager","1","false","0.75"
"Ella Martinez","ella.martinez.emp159@public.local","Research & Development","Research Scientist","0.75","false","0.25"
"Aarav Walker","aarav.walker.emp160@public.local","Sales","Sales Executive","0.5","false","0.75"
"Olivia Walker","olivia.walker.emp161@public.local","Research & Development","Research Scientist","0.5","true","0.5"
"Noah Walker","noah.walker.emp162@public.local","Research & Development","Research Director","0.75","false","0.25"
"Emma Walker","emma.walker.emp163@public.local","Sales","Sales Executive","0.75","true","0.5"
"Liam Walker","liam.walker.emp164@public.local","Research & Development","Research Scientist","0.5","false","0.75"
"Sophia Walker","sophia.walker.emp165@public.local","Research & Development","Healthcare Representative","1","true","1"
"Isabella Walker","isabella.walker.emp167@public.local","Sales","Sales Representative","0.75","true","1"
"Mia Walker","mia.walker.emp169@public.local","Research & Development","Laboratory Technician","1","false","0.75"
"Ethan Walker","ethan.walker.emp170@public.local","Research & Development","Manufacturing Director","0.25","false","0.75"
"Amelia Walker","amelia.walker.emp171@public.local","Research & Development","Research Scientist","0.75","false","0.5"
"Benjamin Walker","benjamin.walker.emp174@public.local","Sales","Sales Executive","1","false","0.75"
"Evelyn Walker","evelyn.walker.emp175@public.local","Sales","Sales Executive","0.75","true","0.5"
"Elijah Walker","elijah.walker.emp176@public.local","Sales","Sales Executive","0.75","false","0.75"
"Abigail Walker","abigail.walker.emp177@public.local","Human Resources","Human Resources","0.75","false","0.75"
"Daniel Walker","daniel.walker.emp178@public.local","Research & Development","Manufacturing Director","0.5","false","0.5"
"Ella Walker","ella.walker.emp179@public.local","Research & Development","Manufacturing Director","1","true","0.25"
"Noah Evans","noah.evans.emp182@public.local","Sales","Sales Executive","0.75","false","1"
"Emma Evans","emma.evans.emp183@public.local","Sales","Sales Executive","0.75","false","0.25"
"Liam Evans","liam.evans.emp184@public.local","Human Resources","Human Resources","1","false","0.75"
"Ethan Evans","ethan.evans.emp190@public.local","Research & Development","Laboratory Technician","0.25","true","0.25"
"James Evans","james.evans.emp192@public.local","Research & Development","Research Scientist","1","false","0.75"
"Harper Evans","harper.evans.emp193@public.local","Research & Development","Research Scientist","0.75","false","1"
"Benjamin Evans","benjamin.evans.emp194@public.local","Research & Development","Research Scientist","0.75","false","0.25"
"Evelyn Evans","evelyn.evans.emp195@public.local","Sales","Sales Executive","1","false","1"
"Abigail Evans","abigail.evans.emp197@public.local","Research & Development","Research Scientist","0.25","false","1"
"Daniel Evans","daniel.evans.emp198@public.local","Research & Development","Laboratory Technician","1","false","0.5"
"Ella Evans","ella.evans.emp199@public.local","Research & Development","Manager","0.25","false","1"
"Aarav Lopez","aarav.lopez.emp200@public.local","Research & Development","Laboratory Technician","0.25","false","0.75"
"Olivia Lopez","olivia.lopez.emp201@public.local","Research & Development","Laboratory Technician","0.5","false","0.5"
"Noah Lopez","noah.lopez.emp202@public.local","Research & Development","Research Scientist","0.5","false","0.5"
"Liam Lopez","liam.lopez.emp204@public.local","Sales","Sales Executive","0.5","false","0.75"
"Sophia Lopez","sophia.lopez.emp205@public.local","Sales","Sales Representative","0.75","false","0.5"
"Mason Lopez","mason.lopez.emp206@public.local","Research & Development","Laboratory Technician","0.5","false","0.5"
"Isabella Lopez","isabella.lopez.emp207@public.local","Sales","Sales Executive","1","false","0.5"
"Lucas Lopez","lucas.lopez.emp208@public.local","Research & Development","Manufacturing Director","0.75","false","1"
"Amelia Lopez","amelia.lopez.emp211@public.local","Research & Development","Manufacturing Director","0.75","false","0.5"
"Benjamin Lopez","benjamin.lopez.emp214@public.local","Research & Development","Research Scientist","0.5","false","0.5"
"Evelyn Lopez","evelyn.lopez.emp215@public.local","Sales","Sales Executive","1","false","0.75"
"Elijah Lopez","elijah.lopez.emp216@public.local","Sales","Sales Representative","0.75","false","0.75"
"Abigail Lopez","abigail.lopez.emp217@public.local","Research & Development","Research Scientist","1","false","0.75"
"Daniel Lopez","daniel.lopez.emp218@public.local","Research & Development","Research Scientist","0.5","false","1"
"Olivia Hughes","olivia.hughes.emp221@public.local","Research & Development","Research Scientist","1","false","0.75"
"Emma Hughes","emma.hughes.emp223@public.local","Research & Development","Healthcare Representative","1","false","0.75"
"Liam Hughes","liam.hughes.emp224@public.local","Research & Development","Research Scientist","0.75","false","0.75"
"Mason Hughes","mason.hughes.emp226@public.local","Research & Development","Manager","0.5","false","0.75"
"Isabella Hughes","isabella.hughes.emp227@public.local","Research & Development","Research Scientist","0.75","false","0.25"
"Lucas Hughes","lucas.hughes.emp228@public.local","Sales","Sales Executive","1","false","0.5"
"Ethan Hughes","ethan.hughes.emp230@public.local","Sales","Sales Executive","1","false","0.25"
"Amelia Hughes","amelia.hughes.emp231@public.local","Research & Development","Research Scientist","0.75","false","0.75"
"Harper Hughes","harper.hughes.emp233@public.local","Research & Development","Research Scientist","0.5","false","0.75"
"Evelyn Hughes","evelyn.hughes.emp235@public.local","Sales","Sales Representative","0.25","true","0.75"
"Daniel Hughes","daniel.hughes.emp238@public.local","Research & Development","Laboratory Technician","0.5","false","1"
"Ella Hughes","ella.hughes.emp239@public.local","Research & Development","Laboratory Technician","0.25","false","0.75"
"Aarav Torres","aarav.torres.emp240@public.local","Sales","Sales Executive","0.25","false","0.75"
"Olivia Torres","olivia.torres.emp241@public.local","Research & Development","Research Scientist","0.25","false","0.75"
"Noah Torres","noah.torres.emp242@public.local","Research & Development","Research Scientist","1","false","0.75"
"Emma Torres","emma.torres.emp243@public.local","Research & Development","Laboratory Technician","1","true","0.5"
"Liam Torres","liam.torres.emp244@public.local","Sales","Sales Executive","0.25","false","0.5"
"Sophia Torres","sophia.torres.emp245@public.local","Research & Development","Laboratory Technician","1","false","0.75"
"Mason Torres","mason.torres.emp246@public.local","Research & Development","Research Scientist","1","false","0.75"
"Isabella Torres","isabella.torres.emp247@public.local","Research & Development","Research Scientist","0.5","false","1"
"Lucas Torres","lucas.torres.emp248@public.local","Sales","Sales Representative","0.5","true","0.5"
"Mia Torres","mia.torres.emp249@public.local","Research & Development","Laboratory Technician","0.75","false","0.75"
"Ethan Torres","ethan.torres.emp250@public.local","Research & Development","Manufacturing Director","0.25","false","1"
"James Torres","james.torres.emp252@public.local","Research & Development","Research Scientist","0.5","false","1"
"Harper Torres","harper.torres.emp253@public.local","Research & Development","Manager","0.75","false","1"
"Benjamin Torres","benjamin.torres.emp254@public.local","Research & Development","Research Director","0.5","false","0.75"
"Elijah Torres","elijah.torres.emp256@public.local","Research & Development","Manufacturing Director","0.75","false","1"
"Daniel Torres","daniel.torres.emp258@public.local","Research & Development","Healthcare Representative","0.5","false","1"
"Ella Torres","ella.torres.emp259@public.local","Research & Development","Manager","0.75","false","0.75"
"Aarav Bennett","aarav.bennett.emp260@public.local","Research & Development","Research Scientist","0.5","false","1"
"Olivia Bennett","olivia.bennett.emp261@public.local","Research & Development","Manufacturing Director","0.75","true","0.5"
"Noah Bennett","noah.bennett.emp262@public.local","Research & Development","Research Scientist","1","false","1"
"Liam Bennett","liam.bennett.emp264@public.local","Research & Development","Manager","1","false","0.25"
"Isabella Bennett","isabella.bennett.emp267@public.local","Research & Development","Research Scientist","0.25","false","0.5"
"Mia Bennett","mia.bennett.emp269@public.local","Research & Development","Laboratory Technician","0.5","false","0.5"
"Ethan Bennett","ethan.bennett.emp270@public.local","Research & Development","Manufacturing Director","0.75","false","0.75"
"Amelia Bennett","amelia.bennett.emp271@public.local","Research & Development","Manufacturing Director","0.75","false","1"
"Harper Bennett","harper.bennett.emp273@public.local","Research & Development","Manufacturing Director","1","false","1"
"Benjamin Bennett","benjamin.bennett.emp274@public.local","Research & Development","Manufacturing Director","0.25","false","0.75"
"Evelyn Bennett","evelyn.bennett.emp275@public.local","Research & Development","Manufacturing Director","1","false","1"
"Abigail Bennett","abigail.bennett.emp277@public.local","Research & Development","Research Scientist","0.75","false","1"
"Olivia Ramirez","olivia.ramirez.emp281@public.local","Research & Development","Laboratory Technician","1","false","0.75"
"Noah Ramirez","noah.ramirez.emp282@public.local","Research & Development","Healthcare Representative","0.25","true","0.5"
"Emma Ramirez","emma.ramirez.emp283@public.local","Sales","Sales Executive","1","true","0.5"
"Liam Ramirez","liam.ramirez.emp284@public.local","Research & Development","Research Scientist","0.5","false","1"
"Mason Ramirez","mason.ramirez.emp286@public.local","Research & Development","Laboratory Technician","1","false","0.5"
"Isabella Ramirez","isabella.ramirez.emp287@public.local","Research & Development","Healthcare Representative","1","false","1"
"Lucas Ramirez","lucas.ramirez.emp288@public.local","Research & Development","Healthcare Representative","0.25","false","1"
"Amelia Ramirez","amelia.ramirez.emp291@public.local","Sales","Sales Executive","1","true","1"
"James Ramirez","james.ramirez.emp292@public.local","Research & Development","Manufacturing Director","0.75","false","0.75"
"Harper Ramirez","harper.ramirez.emp293@public.local","Sales","Sales Executive","0.75","false","1"
"Elijah Ramirez","elijah.ramirez.emp296@public.local","Research & Development","Research Director","0.5","false","0.5"
"Abigail Ramirez","abigail.ramirez.emp297@public.local","Research & Development","Research Scientist","0.25","true","1"
"Daniel Ramirez","daniel.ramirez.emp298@public.local","Sales","Manager","1","false","1"
"Ella Ramirez","ella.ramirez.emp299@public.local","Sales","Sales Executive","0.25","true","0.75"
"Aarav Shaw","aarav.shaw.emp300@public.local","Research & Development","Research Scientist","0.75","true","0.75"
"Noah Shaw","noah.shaw.emp302@public.local","Sales","Sales Executive","1","false","1"
"Emma Shaw","emma.shaw.emp303@public.local","Sales","Sales Executive","0.25","false","1"
"Liam Shaw","liam.shaw.emp304@public.local","Research & Development","Laboratory Technician","0.5","false","1"
"Sophia Shaw","sophia.shaw.emp305@public.local","Research & Development","Research Scientist","0.5","false","0.75"
"Mason Shaw","mason.shaw.emp306@public.local","Research & Development","Research Director","1","false","0.5"
"Isabella Shaw","isabella.shaw.emp307@public.local","Sales","Sales Executive","0.75","false","0.25"
"Lucas Shaw","lucas.shaw.emp308@public.local","Research & Development","Manufacturing Director","0.75","false","0.75"
"Mia Shaw","mia.shaw.emp309@public.local","Research & Development","Research Scientist","1","false","0.75"
"Amelia Shaw","amelia.shaw.emp311@public.local","Sales","Sales Representative","1","false","0.25"
"James Shaw","james.shaw.emp312@public.local","Sales","Sales Executive","1","false","0.5"
"Benjamin Shaw","benjamin.shaw.emp314@public.local","Sales","Sales Executive","0.75","false","0.75"
"Evelyn Shaw","evelyn.shaw.emp315@public.local","Research & Development","Research Scientist","1","true","0.75"
"Elijah Shaw","elijah.shaw.emp316@public.local","Research & Development","Laboratory Technician","1","false","0.75"
"Ella Shaw","ella.shaw.emp319@public.local","Research & Development","Manager","1","false","0.75"
"Olivia Cruz","olivia.cruz.emp321@public.local","Human Resources","Human Resources","0.75","false","0.5"
"Emma Cruz","emma.cruz.emp323@public.local","Sales","Manager","1","false","1"
"Sophia Cruz","sophia.cruz.emp325@public.local","Research & Development","Laboratory Technician","1","true","0.75"
"Isabella Cruz","isabella.cruz.emp327@public.local","Sales","Manager","1","false","1"
"Lucas Cruz","lucas.cruz.emp328@public.local","Research & Development","Laboratory Technician","0.25","true","0.25"
"Mia Cruz","mia.cruz.emp329@public.local","Sales","Manager","0.75","false","0.25"
"Ethan Cruz","ethan.cruz.emp330@public.local","Sales","Sales Representative","0.5","false","0.75"
"Amelia Cruz","amelia.cruz.emp331@public.local","Research & Development","Laboratory Technician","0.75","true","1"
"James Cruz","james.cruz.emp332@public.local","Research & Development","Laboratory Technician","0.75","false","0.75"
"Harper Cruz","harper.cruz.emp333@public.local","Sales","Sales Executive","1","false","0.75"
"Benjamin Cruz","benjamin.cruz.emp334@public.local","Research & Development","Research Scientist","0.25","false","0.75"
"Evelyn Cruz","evelyn.cruz.emp335@public.local","Research & Development","Research Scientist","1","false","0.25"
"Elijah Cruz","elijah.cruz.emp336@public.local","Research & Development","Manager","1","false","0.75"
"Abigail Cruz","abigail.cruz.emp337@public.local","Research & Development","Research Director","0.75","false","0.5"
"Daniel Cruz","daniel.cruz.emp338@public.local","Research & Development","Research Scientist","1","false","0.75"
"Ella Cruz","ella.cruz.emp339@public.local","Research & Development","Manufacturing Director","0.25","false","1"
"Aarav Powell","aarav.powell.emp340@public.local","Research & Development","Research Scientist","0.25","false","0.75"
"Olivia Powell","olivia.powell.emp341@public.local","Research & Development","Manufacturing Director","0.75","false","0.25"
"Noah Powell","noah.powell.emp342@public.local","Research & Development","Manufacturing Director","0.75","true","0.25"
"Emma Powell","emma.powell.emp343@public.local","Research & Development","Healthcare Representative","0.75","false","0.75"
"Mason Powell","mason.powell.emp346@public.local","Research & Development","Research Scientist","1","false","0.75"
"Isabella Powell","isabella.powell.emp347@public.local","Research & Development","Research Scientist","0.25","false","1"
"Mia Powell","mia.powell.emp349@public.local","Sales","Sales Executive","1","false","1"
"Ethan Powell","ethan.powell.emp350@public.local","Research & Development","Manufacturing Director","0.75","false","0.25"
"Amelia Powell","amelia.powell.emp351@public.local","Research & Development","Laboratory Technician","0.25","false","1"
"James Powell","james.powell.emp352@public.local","Research & Development","Research Director","0.75","false","0.25"
"Harper Powell","harper.powell.emp353@public.local","Research & Development","Research Scientist","1","false","0.75"
"Evelyn Powell","evelyn.powell.emp355@public.local","Research & Development","Laboratory Technician","0.5","true","0.75"
"Ella Powell","ella.powell.emp359@public.local","Research & Development","Laboratory Technician","0.5","false","0.5"
"Olivia Murphy","olivia.murphy.emp361@public.local","Sales","Sales Executive","1","false","1"
"Noah Murphy","noah.murphy.emp362@public.local","Research & Development","Laboratory Technician","0.25","false","1"
"Emma Murphy","emma.murphy.emp363@public.local","Sales","Manager","0.5","false","0.75"
"Liam Murphy","liam.murphy.emp364@public.local","Research & Development","Laboratory Technician","0.75","true","0.25"
"Mason Murphy","mason.murphy.emp366@public.local","Sales","Sales Executive","0.5","false","0.25"
"Isabella Murphy","isabella.murphy.emp367@public.local","Research & Development","Healthcare Representative","1","false","0.5"
"Mia Murphy","mia.murphy.emp369@public.local","Research & Development","Healthcare Representative","0.25","false","0.5"
"James Murphy","james.murphy.emp372@public.local","Research & Development","Healthcare Representative","1","false","0.75"
"Harper Murphy","harper.murphy.emp373@public.local","Research & Development","Laboratory Technician","1","false","1"
"Benjamin Murphy","benjamin.murphy.emp374@public.local","Research & Development","Manager","0.25","false","1"
"Elijah Murphy","elijah.murphy.emp376@public.local","Research & Development","Manager","0.5","true","0.25"
"Abigail Murphy","abigail.murphy.emp377@public.local","Research & Development","Research Scientist","1","false","1"
"Daniel Murphy","daniel.murphy.emp378@public.local","Sales","Sales Executive","1","false","0.75"
"Ella Murphy","ella.murphy.emp379@public.local","Research & Development","Research Scientist","0.75","false","1"
"Aarav Hayes","aarav.hayes.emp380@public.local","Research & Development","Research Director","1","false","0.25"
"Olivia Hayes","olivia.hayes.emp381@public.local","Research & Development","Manager","0.5","false","0.5"
"Noah Hayes","noah.hayes.emp382@public.local","Sales","Sales Executive","0.25","false","0.25"
"Liam Hayes","liam.hayes.emp384@public.local","Research & Development","Manufacturing Director","0.5","false","0.75"
"Sophia Hayes","sophia.hayes.emp385@public.local","Research & Development","Research Director","0.5","false","0.25"
"Mason Hayes","mason.hayes.emp386@public.local","Research & Development","Research Director","0.75","false","0.75"
"Isabella Hayes","isabella.hayes.emp387@public.local","Sales","Sales Executive","0.75","false","0.5"
"Lucas Hayes","lucas.hayes.emp388@public.local","Sales","Sales Executive","1","false","0.5"
"Mia Hayes","mia.hayes.emp389@public.local","Research & Development","Laboratory Technician","1","false","0.5"
"Ethan Hayes","ethan.hayes.emp390@public.local","Research & Development","Healthcare Representative","0.25","false","0.25"
"Amelia Hayes","amelia.hayes.emp391@public.local","Research & Development","Research Scientist","1","false","1"
"James Hayes","james.hayes.emp392@public.local","Research & Development","Laboratory Technician","0.75","true","1"
"Harper Hayes","harper.hayes.emp393@public.local","Research & Development","Healthcare Representative","1","false","1"
"Benjamin Hayes","benjamin.hayes.emp394@public.local","Research & Development","Laboratory Technician","0.5","true","0.25"
"Evelyn Hayes","evelyn.hayes.emp395@public.local","Research & Development","Research Scientist","1","false","1"
"Elijah Hayes","elijah.hayes.emp396@public.local","Research & Development","Research Director","0.25","false","0.75"
"Abigail Hayes","abigail.hayes.emp397@public.local","Research & Development","Research Scientist","0.5","false","0.75"
"Ella Hayes","ella.hayes.emp399@public.local","Sales","Sales Representative","0.5","false","1"
"Olivia Parker","olivia.parker.emp401@public.local","Sales","Sales Executive","1","true","1"
"Emma Parker","emma.parker.emp403@public.local","Research & Development","Research Scientist","1","false","0.5"
"Liam Parker","liam.parker.emp404@public.local","Sales","Sales Executive","0.5","false","0.75"
