"email","skill_name","level"
"elijah.lopez.cand@public.local","Communication","3"
"elijah.lopez.cand@public.local","Problem Solving","3"
"elijah.lopez.cand@public.local","Collaboration","3"
"elijah.lopez.cand@public.local","Execution","3"
"abigail.lopez.cand@public.local","Communication","2"
"abigail.lopez.cand@public.local","Problem Solving","2"
"abigail.lopez.cand@public.local","Collaboration","2"
"abigail.lopez.cand@public.local","Execution","2"
"daniel.lopez.cand@public.local","Communication","5"
"daniel.lopez.cand@public.local","Problem Solving","5"
"daniel.lopez.cand@public.local","Collaboration","5"
"daniel.lopez.cand@public.local","Execution","5"
"ella.lopez.cand@public.local","Communication","3"
"ella.lopez.cand@public.local","Problem Solving","3"
"ella.lopez.cand@public.local","Collaboration","3"
"ella.lopez.cand@public.local","Execution","3"
"aarav.hughes.cand@public.local","Communication","4"
"aarav.hughes.cand@public.local","Problem Solving","4"
"aarav.hughes.cand@public.local","Collaboration","4"
"aarav.hughes.cand@public.local","Execution","4"
"olivia.hughes.cand@public.local","Communication","4"
"olivia.hughes.cand@public.local","Problem Solving","4"
"olivia.hughes.cand@public.local","Collaboration","4"
"olivia.hughes.cand@public.local","Execution","4"
"noah.hughes.cand@public.local","Communication","3"
"noah.hughes.cand@public.local","Problem Solving","3"
"noah.hughes.cand@public.local","Collaboration","3"
"noah.hughes.cand@public.local","Execution","3"
"emma.hughes.cand@public.local","Communication","5"
"emma.hughes.cand@public.local","Problem Solving","5"
"emma.hughes.cand@public.local","Collaboration","5"
"emma.hughes.cand@public.local","Execution","5"
"liam.hughes.cand@public.local","Communication","3"
"liam.hughes.cand@public.local","Problem Solving","3"
"liam.hughes.cand@public.local","Collaboration","3"
"liam.hughes.cand@public.local","Execution","3"
"sophia.hughes.cand@public.local","Communication","3"
"sophia.hughes.cand@public.local","Problem Solving","3"
"sophia.hughes.cand@public.local","Collaboration","3"
"sophia.hughes.cand@public.local","Execution","3"
"mason.hughes.cand@public.local","Communication","5"
"mason.hughes.cand@public.local","Problem Solving","5"
"mason.hughes.cand@public.local","Collaboration","5"
"mason.hughes.cand@public.local","Execution","5"
"isabella.hughes.cand@public.local","Communication","4"
"isabella.hughes.cand@public.local","Problem Solving","4"
"isabella.hughes.cand@public.local","Collaboration","4"
"isabella.hughes.cand@public.local","Execution","4"
"lucas.hughes.cand@public.local","Communication","2"
"lucas.hughes.cand@public.local","Problem Solving","2"
"lucas.hughes.cand@public.local","Collaboration","2"
"lucas.hughes.cand@public.local","Execution","2"
"mia.hughes.cand@public.local","Communication","2"
"mia.hughes.cand@public.local","Problem Solving","2"
"mia.hughes.cand@public.local","Collaboration","2"
"mia.hughes.cand@public.local","Execution","2"
"ethan.hughes.cand@public.local","Communication","2"
"ethan.hughes.cand@public.local","Problem Solving","2"
"ethan.hughes.cand@public.local","Collaboration","2"
"ethan.hughes.cand@public.local","Execution","2"
"amelia.hughes.cand@public.local","Communication","3"
"amelia.hughes.cand@public.local","Problem Solving","3"
"amelia.hughes.cand@public.local","Collaboration","3"
"amelia.hughes.cand@public.local","Execution","3"
"james.hughes.cand@public.local","Communication","3"
"james.hughes.cand@public.local","Problem Solving","3"
"james.hughes.cand@public.local","Collaboration","3"
"james.hughes.cand@public.local","Execution","3"
"harper.hughes.cand@public.local","Communication","3"
"harper.hughes.cand@public.local","Problem Solving","3"
"harper.hughes.cand@public.local","Collaboration","3"
"harper.hughes.cand@public.local","Execution","3"
"benjamin.hughes.cand@public.local","Communication","3"
"benjamin.hughes.cand@public.local","Problem Solving","3"
"benjamin.hughes.cand@public.local","Collaboration","3"
"benjamin.hughes.cand@public.local","Execution","3"
"evelyn.hughes.cand@public.local","Communication","4"
"evelyn.hughes.cand@public.local","Problem Solving","4"
"evelyn.hughes.cand@public.local","Collaboration","4"
"evelyn.hughes.cand@public.local","Execution","4"
"elijah.hughes.cand@public.local","Communication","5"
"elijah.hughes.cand@public.local","Problem Solving","5"
"elijah.hughes.cand@public.local","Collaboration","5"
"elijah.hughes.cand@public.local","Execution","5"
"abigail.hughes.cand@public.local","Communication","2"
"abigail.hughes.cand@public.local","Problem Solving","2"
"abigail.hughes.cand@public.local","Collaboration","2"
"abigail.hughes.cand@public.local","Execution","2"
"daniel.hughes.cand@public.local","Communication","2"
"daniel.hughes.cand@public.local","Problem Solving","2"
"daniel.hughes.cand@public.local","Collaboration","2"
"daniel.hughes.cand@public.local","Execution","2"
"ella.hughes.cand@public.local","Communication","4"
"ella.hughes.cand@public.local","Problem Solving","4"
"ella.hughes.cand@public.local","Collaboration","4"
"ella.hughes.cand@public.local","Execution","4"
"aarav.torres.cand@public.local","Communication","3"
"aarav.torres.cand@public.local","Problem Solving","3"
"aarav.torres.cand@public.local","Collaboration","3"
"aarav.torres.cand@public.local","Execution","3"
"olivia.torres.cand@public.local","Communication","4"
"olivia.torres.cand@public.local","Problem Solving","4"
"olivia.torres.cand@public.local","Collaboration","4"
"olivia.torres.cand@public.local","Execution","4"
"noah.torres.cand@public.local","Communication","2"
"noah.torres.cand@public.local","Problem Solving","2"
"noah.torres.cand@public.local","Collaboration","2"
"noah.torres.cand@public.local","Execution","2"
"emma.torres.cand@public.local","Communication","2"
"emma.torres.cand@public.local","Problem Solving","2"
"emma.torres.cand@public.local","Collaboration","2"
"emma.torres.cand@public.local","Execution","2"
"liam.torres.cand@public.local","Communication","4"
"liam.torres.cand@public.local","Problem Solving","4"
"liam.torres.cand@public.local","Collaboration","4"
"liam.torres.cand@public.local","Execution","4"
"sophia.torres.cand@public.local","Communication","4"
"sophia.torres.cand@public.local","Problem Solving","4"
"sophia.torres.cand@public.local","Collaboration","4"
"sophia.torres.cand@public.local","Execution","4"
"mason.torres.cand@public.local","Communication","4"
"mason.torres.cand@public.local","Problem Solving","4"
"mason.torres.cand@public.local","Collaboration","4"
"mason.torres.cand@public.local","Execution","4"
"isabella.torres.cand@public.local","Communication","3"
"isabella.torres.cand@public.local","Problem Solving","3"
"isabella.torres.cand@public.local","Collaboration","3"
"isabella.torres.cand@public.local","Execution","3"
"lucas.torres.cand@public.local","Communication","4"
"lucas.torres.cand@public.local","Problem Solving","4"
"lucas.torres.cand@public.local","Collaboration","4"
"lucas.torres.cand@public.local","Execution","4"
"mia.torres.cand@public.local","Communication","3"
"mia.torres.cand@public.local","Problem Solving","3"
"mia.torres.cand@public.local","Collaboration","3"
"mia.torres.cand@public.local","Execution","3"
"ethan.torres.cand@public.local","Communication","2"
"ethan.torres.cand@public.local","Problem Solving","2"
"ethan.torres.cand@public.local","Collaboration","2"
"ethan.torres.cand@public.local","Execution","2"
"amelia.torres.cand@public.local","Communication","4"
"amelia.torres.cand@public.local","Problem Solving","4"
"amelia.torres.cand@public.local","Collaboration","4"
"amelia.torres.cand@public.local","Execution","4"
"james.torres.cand@public.local","Communication","3"
"james.torres.cand@public.local","Problem Solving","3"
"james.torres.cand@public.local","Collaboration","3"
"james.torres.cand@public.local","Execution","3"
"harper.torres.cand@public.local","Communication","3"
"harper.torres.cand@public.local","Problem Solving","3"
"harper.torres.cand@public.local","Collaboration","3"
"harper.torres.cand@public.local","Execution","3"
"benjamin.torres.cand@public.local","Communication","3"
"benjamin.torres.cand@public.local","Problem Solving","3"
"benjamin.torres.cand@public.local","Collaboration","3"
"benjamin.torres.cand@public.local","Execution","3"
"evelyn.torres.cand@public.local","Communication","5"
"evelyn.torres.cand@public.local","Problem Solving","5"
"evelyn.torres.cand@public.local","Collaboration","5"
"evelyn.torres.cand@public.local","Execution","5"
"elijah.torres.cand@public.local","Communication","2"
"elijah.torres.cand@public.local","Problem Solving","2"
"elijah.torres.cand@public.local","Collaboration","2"
"elijah.torres.cand@public.local","Execution","2"
"abigail.torres.cand@public.local","Communication","5"
"abigail.torres.cand@public.local","Problem Solving","5"
"abigail.torres.cand@public.local","Collaboration","5"
"abigail.torres.cand@public.local","Execution","5"
"daniel.torres.cand@public.local","Communication","4"
"daniel.torres.cand@public.local","Problem Solving","4"
"daniel.torres.cand@public.local","Collaboration","4"
"daniel.torres.cand@public.local","Execution","4"
"ella.torres.cand@public.local","Communication","3"
"ella.torres.cand@public.local","Problem Solving","3"
"ella.torres.cand@public.local","Collaboration","3"
"ella.torres.cand@public.local","Execution","3"
"aarav.bennett.cand@public.local","Communication","5"
"aarav.bennett.cand@public.local","Problem Solving","5"
"aarav.bennett.cand@public.local","Collaboration","5"
"aarav.bennett.cand@public.local","Execution","5"
"olivia.bennett.cand@public.local","Communication","5"
"olivia.bennett.cand@public.local","Problem Solving","5"
"olivia.bennett.cand@public.local","Collaboration","5"
"olivia.bennett.cand@public.local","Execution","5"
"noah.bennett.cand@public.local","Communication","5"
"noah.bennett.cand@public.local","Problem Solving","5"
"noah.bennett.cand@public.local","Collaboration","5"
"noah.bennett.cand@public.local","Execution","5"
"emma.bennett.cand@public.local","Communication","5"
"emma.bennett.cand@public.local","Problem Solving","5"
"emma.bennett.cand@public.local","Collaboration","5"
"emma.bennett.cand@public.local","Execution","5"
"liam.bennett.cand@public.local","Communication","3"
"liam.bennett.cand@public.local","Problem Solving","3"
"liam.bennett.cand@public.local","Collaboration","3"
"liam.bennett.cand@public.local","Execution","3"
"sophia.bennett.cand@public.local","Communication","5"
"sophia.bennett.cand@public.local","Problem Solving","5"
"sophia.bennett.cand@public.local","Collaboration","5"
"sophia.bennett.cand@public.local","Execution","5"
"mason.bennett.cand@public.local","Communication","4"
"mason.bennett.cand@public.local","Problem Solving","4"
"mason.bennett.cand@public.local","Collaboration","4"
"mason.bennett.cand@public.local","Execution","4"
"isabella.bennett.cand@public.local","Communication","3"
"isabella.bennett.cand@public.local","Problem Solving","3"
"isabella.bennett.cand@public.local","Collaboration","3"
"isabella.bennett.cand@public.local","Execution","3"
"lucas.bennett.cand@public.local","Communication","5"
"lucas.bennett.cand@public.local","Problem Solving","5"
"lucas.bennett.cand@public.local","Collaboration","5"
"lucas.bennett.cand@public.local","Execution","5"
"mia.bennett.cand@public.local","Communication","4"
"mia.bennett.cand@public.local","Problem Solving","4"
"mia.bennett.cand@public.local","Collaboration","4"
"mia.bennett.cand@public.local","Execution","4"
"ethan.bennett.cand@public.local","Communication","2"
"ethan.bennett.cand@public.local","Problem Solving","2"
"ethan.bennett.cand@public.local","Collaboration","2"
"ethan.bennett.cand@public.local","Execution","2"
"amelia.bennett.cand@public.local","Communication","5"
"amelia.bennett.cand@public.local","Problem Solving","5"
"amelia.bennett.cand@public.local","Collaboration","5"
"amelia.bennett.cand@public.local","Execution","5"
"james.bennett.cand@public.local","Communication","4"
"james.bennett.cand@public.local","Problem Solving","4"
"james.bennett.cand@public.local","Collaboration","4"
"james.bennett.cand@public.local","Execution","4"
"harper.bennett.cand@public.local","Communication","2"
"harper.bennett.cand@public.local","Problem Solving","2"
"harper.bennett.cand@public.local","Collaboration","2"
"harper.bennett.cand@public.local","Execution","2"
"benjamin.bennett.cand@public.local","Communication","4"
"benjamin.bennett.cand@public.local","Problem Solving","4"
"benjamin.bennett.cand@public.local","Collaboration","4"
"benjamin.bennett.cand@public.local","Execution","4"
"evelyn.bennett.cand@public.local","Communication","5"
"evelyn.bennett.cand@public.local","Problem Solving","5"
"evelyn.bennett.cand@public.local","Collaboration","5"
"evelyn.bennett.cand@public.local","Execution","5"
"elijah.bennett.cand@public.local","Communication","4"
"elijah.bennett.cand@public.local","Problem Solving","4"
"elijah.bennett.cand@public.local","Collaboration","4"
"elijah.bennett.cand@public.local","Execution","4"
"abigail.bennett.cand@public.local","Communication","4"
"abigail.bennett.cand@public.local","Problem Solving","4"
"abigail.bennett.cand@public.local","Collaboration","4"
"abigail.bennett.cand@public.local","Execution","4"
"daniel.bennett.cand@public.local","Communication","3"
"daniel.bennett.cand@public.local","Problem Solving","3"
"daniel.bennett.cand@public.local","Collaboration","3"
"daniel.bennett.cand@public.local","Execution","3"
"ella.bennett.cand@public.local","Communication","3"
"ella.bennett.cand@public.local","Problem Solving","3"
"ella.bennett.cand@public.local","Collaboration","3"
"ella.bennett.cand@public.local","Execution","3"
"aarav.ramirez.cand@public.local","Communication","3"
"aarav.ramirez.cand@public.local","Problem Solving","3"
"aarav.ramirez.cand@public.local","Collaboration","3"
"aarav.ramirez.cand@public.local","Execution","3"
"olivia.ramirez.cand@public.local","Communication","3"
"olivia.ramirez.cand@public.local","Problem Solving","3"
"olivia.ramirez.cand@public.local","Collaboration","3"
"olivia.ramirez.cand@public.local","Execution","3"
"noah.ramirez.cand@public.local","Communication","2"
"noah.ramirez.cand@public.local","Problem Solving","2"
"noah.ramirez.cand@public.local","Collaboration","2"
"noah.ramirez.cand@public.local","Execution","2"
"emma.ramirez.cand@public.local","Communication","3"
"emma.ramirez.cand@public.local","Problem Solving","3"
"emma.ramirez.cand@public.local","Collaboration","3"
"emma.ramirez.cand@public.local","Execution","3"
"liam.ramirez.cand@public.local","Communication","4"
"liam.ramirez.cand@public.local","Problem Solving","4"
"liam.ramirez.cand@public.local","Collaboration","4"
"liam.ramirez.cand@public.local","Execution","4"
"sophia.ramirez.cand@public.local","Communication","4"
"sophia.ramirez.cand@public.local","Problem Solving","4"
"sophia.ramirez.cand@public.local","Collaboration","4"
"sophia.ramirez.cand@public.local","Execution","4"
"mason.ramirez.cand@public.local","Communication","4"
"mason.ramirez.cand@public.local","Problem Solving","4"
"mason.ramirez.cand@public.local","Collaboration","4"
"mason.ramirez.cand@public.local","Execution","4"
"isabella.ramirez.cand@public.local","Communication","4"
"isabella.ramirez.cand@public.local","Problem Solving","4"
"isabella.ramirez.cand@public.local","Collaboration","4"
"isabella.ramirez.cand@public.local","Execution","4"
"lucas.ramirez.cand@public.local","Communication","2"
"lucas.ramirez.cand@public.local","Problem Solving","2"
"lucas.ramirez.cand@public.local","Collaboration","2"
"lucas.ramirez.cand@public.local","Execution","2"
"mia.ramirez.cand@public.local","Communication","3"
"mia.ramirez.cand@public.local","Problem Solving","3"
"mia.ramirez.cand@public.local","Collaboration","3"
"mia.ramirez.cand@public.local","Execution","3"
"ethan.ramirez.cand@public.local","Communication","4"
"ethan.ramirez.cand@public.local","Problem Solving","4"
"ethan.ramirez.cand@public.local","Collaboration","4"
"ethan.ramirez.cand@public.local","Execution","4"
"amelia.ramirez.cand@public.local","Communication","2"
"amelia.ramirez.cand@public.local","Problem Solving","2"
"amelia.ramirez.cand@public.local","Collaboration","2"
"amelia.ramirez.cand@public.local","Execution","2"
"james.ramirez.cand@public.local","Communication","5"
"james.ramirez.cand@public.local","Problem Solving","5"
"james.ramirez.cand@public.local","Collaboration","5"
"james.ramirez.cand@public.local","Execution","5"
"harper.ramirez.cand@public.local","Communication","2"
"harper.ramirez.cand@public.local","Problem Solving","2"
"harper.ramirez.cand@public.local","Collaboration","2"
"harper.ramirez.cand@public.local","Execution","2"
"benjamin.ramirez.cand@public.local","Communication","3"
"benjamin.ramirez.cand@public.local","Problem Solving","3"
"benjamin.ramirez.cand@public.local","Collaboration","3"
"benjamin.ramirez.cand@public.local","Execution","3"
"evelyn.ramirez.cand@public.local","Communication","4"
"evelyn.ramirez.cand@public.local","Problem Solving","4"
"evelyn.ramirez.cand@public.local","Collaboration","4"
"evelyn.ramirez.cand@public.local","Execution","4"
"elijah.ramirez.cand@public.local","Communication","3"
"elijah.ramirez.cand@public.local","Problem Solving","3"
"elijah.ramirez.cand@public.local","Collaboration","3"
"elijah.ramirez.cand@public.local","Execution","3"
"abigail.ramirez.cand@public.local","Communication","4"
"abigail.ramirez.cand@public.local","Problem Solving","4"
"abigail.ramirez.cand@public.local","Collaboration","4"
"abigail.ramirez.cand@public.local","Execution","4"
"daniel.ramirez.cand@public.local","Communication","4"
"daniel.ramirez.cand@public.local","Problem Solving","4"
"daniel.ramirez.cand@public.local","Collaboration","4"
"daniel.ramirez.cand@public.local","Execution","4"
"ella.ramirez.cand@public.local","Communication","5"
"ella.ramirez.cand@public.local","Problem Solving","5"
"ella.ramirez.cand@public.local","Collaboration","5"
"ella.ramirez.cand@public.local","Execution","5"
"aarav.shaw.cand@public.local","Communication","5"
"aarav.shaw.cand@public.local","Problem Solving","5"
"aarav.shaw.cand@public.local","Collaboration","5"
"aarav.shaw.cand@public.local","Execution","5"
"olivia.shaw.cand@public.local","Communication","3"
"olivia.shaw.cand@public.local","Problem Solving","3"
"olivia.shaw.cand@public.local","Collaboration","3"
"olivia.shaw.cand@public.local","Execution","3"
"noah.shaw.cand@public.local","Communication","3"
"noah.shaw.cand@public.local","Problem Solving","3"
"noah.shaw.cand@public.local","Collaboration","3"
"noah.shaw.cand@public.local","Execution","3"
"emma.shaw.cand@public.local","Communication","2"
"emma.shaw.cand@public.local","Problem Solving","2"
"emma.shaw.cand@public.local","Collaboration","2"
"emma.shaw.cand@public.local","Execution","2"
"liam.shaw.cand@public.local","Communication","5"
"liam.shaw.cand@public.local","Problem Solving","5"
"liam.shaw.cand@public.local","Collaboration","5"
"liam.shaw.cand@public.local","Execution","5"
"sophia.shaw.cand@public.local","Communication","3"
"sophia.shaw.cand@public.local","Problem Solving","3"
"sophia.shaw.cand@public.local","Collaboration","3"
"sophia.shaw.cand@public.local","Execution","3"
"mason.shaw.cand@public.local","Communication","2"
"mason.shaw.cand@public.local","Problem Solving","2"
"mason.shaw.cand@public.local","Collaboration","2"
"mason.shaw.cand@public.local","Execution","2"
"isabella.shaw.cand@public.local","Communication","5"
"isabella.shaw.cand@public.local","Problem Solving","5"
"isabella.shaw.cand@public.local","Collaboration","5"
"isabella.shaw.cand@public.local","Execution","5"
"lucas.shaw.cand@public.local","Communication","2"
"lucas.shaw.cand@public.local","Problem Solving","2"
"lucas.shaw.cand@public.local","Collaboration","2"
"lucas.shaw.cand@public.local","Execution","2"
"mia.shaw.cand@public.local","Communication","4"
"mia.shaw.cand@public.local","Problem Solving","4"
"mia.shaw.cand@public.local","Collaboration","4"
"mia.shaw.cand@public.local","Execution","4"
"ethan.shaw.cand@public.local","Communication","2"
"ethan.shaw.cand@public.local","Problem Solving","2"
"ethan.shaw.cand@public.local","Collaboration","2"
"ethan.shaw.cand@public.local","Execution","2"
"amelia.shaw.cand@public.local","Communication","2"
"amelia.shaw.cand@public.local","Problem Solving","2"
"amelia.shaw.cand@public.local","Collaboration","2"
"amelia.shaw.cand@public.local","Execution","2"
"james.shaw.cand@public.local","Communication","4"
"james.shaw.cand@public.local","Problem Solving","4"
"james.shaw.cand@public.local","Collaboration","4"
"james.shaw.cand@public.local","Execution","4"
"harper.shaw.cand@public.local","Communication","3"
"harper.shaw.cand@public.local","Problem Solving","3"
"harper.shaw.cand@public.local","Collaboration","3"
"harper.shaw.cand@public.local","Execution","3"
"benjamin.shaw.cand@public.local","Communication","5"
"benjamin.shaw.cand@public.local","Problem Solving","5"
"benjamin.shaw.cand@public.local","Collaboration","5"
"benjamin.shaw.cand@public.local","Execution","5"
"evelyn.shaw.cand@public.local","Communication","5"
"evelyn.shaw.cand@public.local","Problem Solving","5"
"evelyn.shaw.cand@public.local","Collaboration","5"
"evelyn.shaw.cand@public.local","Execution","5"
"elijah.shaw.cand@public.local","Communication","2"
"elijah.shaw.cand@public.local","Problem Solving","2"
"elijah.shaw.cand@public.local","Collaboration","2"
"elijah.shaw.cand@public.local","Execution","2"
"abigail.shaw.cand@public.local","Communication","3"
"abigail.shaw.cand@public.local","Problem Solving","3"
"abigail.shaw.cand@public.local","Collaboration","3"
"abigail.shaw.cand@public.local","Execution","3"
"daniel.shaw.cand@public.local","Communication","4"
"daniel.shaw.cand@public.local","Problem Solving","4"
"daniel.shaw.cand@public.local","Collaboration","4"
"daniel.shaw.cand@public.local","Execution","4"
"ella.shaw.cand@public.local","Communication","3"
"ella.shaw.cand@public.local","Problem Solving","3"
"ella.shaw.cand@public.local","Collaboration","3"
"ella.shaw.cand@public.local","Execution","3"
"aarav.cruz.cand@public.local","Communication","2"
"aarav.cruz.cand@public.local","Problem Solving","2"
"aarav.cruz.cand@public.local","Collaboration","2"
"aarav.cruz.cand@public.local","Execution","2"
"olivia.cruz.cand@public.local","Communication","3"
"olivia.cruz.cand@public.local","Problem Solving","3"
"olivia.cruz.cand@public.local","Collaboration","3"
"olivia.cruz.cand@public.local","Execution","3"
"noah.cruz.cand@public.local","Communication","2"
"noah.cruz.cand@public.local","Problem Solving","2"
"noah.cruz.cand@public.local","Collaboration","2"
"noah.cruz.cand@public.local","Execution","2"
"emma.cruz.cand@public.local","Communication","5"
"emma.cruz.cand@public.local","Problem Solving","5"
"emma.cruz.cand@public.local","Collaboration","5"
"emma.cruz.cand@public.local","Execution","5"
"liam.cruz.cand@public.local","Communication","4"
"liam.cruz.cand@public.local","Problem Solving","4"
"liam.cruz.cand@public.local","Collaboration","4"
"liam.cruz.cand@public.local","Execution","4"
"sophia.cruz.cand@public.local","Communication","2"
"sophia.cruz.cand@public.local","Problem Solving","2"
"sophia.cruz.cand@public.local","Collaboration","2"
"sophia.cruz.cand@public.local","Execution","2"
"mason.cruz.cand@public.local","Communication","5"
"mason.cruz.cand@public.local","Problem Solving","5"
"mason.cruz.cand@public.local","Collaboration","5"
"mason.cruz.cand@public.local","Execution","5"
"isabella.cruz.cand@public.local","Communication","2"
"isabella.cruz.cand@public.local","Problem Solving","2"
"isabella.cruz.cand@public.local","Collaboration","2"
"isabella.cruz.cand@public.local","Execution","2"
"lucas.cruz.cand@public.local","Communication","4"
"lucas.cruz.cand@public.local","Problem Solving","4"
"lucas.cruz.cand@public.local","Collaboration","4"
"lucas.cruz.cand@public.local","Execution","4"
"mia.cruz.cand@public.local","Communication","4"
"mia.cruz.cand@public.local","Problem Solving","4"
"mia.cruz.cand@public.local","Collaboration","4"
"mia.cruz.cand@public.local","Execution","4"
"ethan.cruz.cand@public.local","Communication","2"
"ethan.cruz.cand@public.local","Problem Solving","2"
"ethan.cruz.cand@public.local","Collaboration","2"
"ethan.cruz.cand@public.local","Execution","2"
"amelia.cruz.cand@public.local","Communication","4"
"amelia.cruz.cand@public.local","Problem Solving","4"
"amelia.cruz.cand@public.local","Collaboration","4"
"amelia.cruz.cand@public.local","Execution","4"
"james.cruz.cand@public.local","Communication","3"
"james.cruz.cand@public.local","Problem Solving","3"
"james.cruz.cand@public.local","Collaboration","3"
"james.cruz.cand@public.local","Execution","3"
"harper.cruz.cand@public.local","Communication","5"
"harper.cruz.cand@public.local","Problem Solving","5"
"harper.cruz.cand@public.local","Collaboration","5"
"harper.cruz.cand@public.local","Execution","5"
"benjamin.cruz.cand@public.local","Communication","3"
"benjamin.cruz.cand@public.local","Problem Solving","3"
"benjamin.cruz.cand@public.local","Collaboration","3"
"benjamin.cruz.cand@public.local","Execution","3"
"evelyn.cruz.cand@public.local","Communication","2"
"evelyn.cruz.cand@public.local","Problem Solving","2"
"evelyn.cruz.cand@public.local","Collaboration","2"
"evelyn.cruz.cand@public.local","Execution","2"
"elijah.cruz.cand@public.local","Communication","4"
"elijah.cruz.cand@public.local","Problem Solving","4"
"elijah.cruz.cand@public.local","Collaboration","4"
"elijah.cruz.cand@public.local","Execution","4"
"abigail.cruz.cand@public.local","Communication","4"
"abigail.cruz.cand@public.local","Problem Solving","4"
"abigail.cruz.cand@public.local","Collaboration","4"
"abigail.cruz.cand@public.local","Execution","4"
"daniel.cruz.cand@public.local","Communication","2"
"daniel.cruz.cand@public.local","Problem Solving","2"
"daniel.cruz.cand@public.local","Collaboration","2"
"daniel.cruz.cand@public.local","Execution","2"
"ella.cruz.cand@public.local","Communication","5"
"ella.cruz.cand@public.local","Problem Solving","5"
"ella.cruz.cand@public.local","Collaboration","5"
"ella.cruz.cand@public.local","Execution","5"
"aarav.powell.cand@public.local","Communication","4"
"aarav.powell.cand@public.local","Problem Solving","4"
"aarav.powell.cand@public.local","Collaboration","4"
"aarav.powell.cand@public.local","Execution","4"
"olivia.powell.cand@public.local","Communication","5"
"olivia.powell.cand@public.local","Problem Solving","5"
"olivia.powell.cand@public.local","Collaboration","5"
"olivia.powell.cand@public.local","Execution","5"
"noah.powell.cand@public.local","Communication","3"
"noah.powell.cand@public.local","Problem Solving","3"
"noah.powell.cand@public.local","Collaboration","3"
"noah.powell.cand@public.local","Execution","3"
"emma.powell.cand@public.local","Communication","4"
"emma.powell.cand@public.local","Problem Solving","4"
"emma.powell.cand@public.local","Collaboration","4"
"emma.powell.cand@public.local","Execution","4"
"liam.powell.cand@public.local","Communication","2"
"liam.powell.cand@public.local","Problem Solving","2"
"liam.powell.cand@public.local","Collaboration","2"
"liam.powell.cand@public.local","Execution","2"
"sophia.powell.cand@public.local","Communication","5"
"sophia.powell.cand@public.local","Problem Solving","5"
"sophia.powell.cand@public.local","Collaboration","5"
"sophia.powell.cand@public.local","Execution","5"
"mason.powell.cand@public.local","Communication","2"
"mason.powell.cand@public.local","Problem Solving","2"
"mason.powell.cand@public.local","Collaboration","2"
"mason.powell.cand@public.local","Execution","2"
"isabella.powell.cand@public.local","Communication","5"
"isabella.powell.cand@public.local","Problem Solving","5"
